"","pclass","survived","sex","age","sibsp","parch","fare","embarked"
"684","Upper","Yes","male",35,0,0,512.3292,"C"
"685","Middle","No","male",19,1,1,36.75,"S"
"686","Lower","No","male",21,0,0,7.25,"S"
"687","Middle","No","male",34,1,0,21,"S"
"688","Lower","No","male",17,0,0,7.125,"S"
"689","Lower","No","male",39,0,0,7.925,"S"
"690","Lower","No","male",22,0,0,9,"S"
"691","Lower","No","female",23,0,0,7.925,"S"
"692","Lower","No","female",11,4,2,31.275,"S"
"693","Upper","Yes","female",19,0,0,30,"S"
"694","Upper","No","male",27,0,2,211.5,"C"
"695","Upper","Yes","male",48,0,0,26.55,"S"
"696","Lower","No","female",18,0,0,7.8792,"Q"
"697","Lower","No","male",23.5,0,0,7.2292,"C"
"699","Upper","No","male",42,0,0,26.55,"S"
"700","Lower","No","male",16,0,0,8.05,"S"
"701","Upper","Yes","female",63,1,0,77.9583,"S"
"704","Upper","Yes","female",52,1,0,78.2667,"C"
"705","Lower","No","female",18,0,0,7.775,"S"
"707","Upper","Yes","female",54,1,0,59.4,"C"
"709","Upper","Yes","female",58,0,0,26.55,"S"
"710","Middle","Yes","female",4,2,1,39,"S"
"711","Middle","No","male",30,0,0,13,"S"
"713","Lower","No","female",22,0,0,9.8375,"S"
"714","Lower","Yes","male",9,0,2,20.525,"S"
"715","Upper","Yes","female",23,3,2,263,"S"
"716","Lower","No","male",20,0,0,7.225,"C"
"719","Lower","No","male",42,0,0,7.65,"S"
"720","Lower","No","female",14,0,0,7.8542,"S"
"723","Middle","Yes","female",50,0,0,10.5,"S"
"724","Lower","No","male",33,0,0,8.05,"S"
"725","Upper","Yes","female",39,1,1,79.65,"S"
"726","Middle","Yes","female",0.9167,1,2,27.75,"S"
"727","Lower","No","male",47,0,0,9,"S"
"728","Lower","No","female",22,2,0,8.6625,"S"
"729","Upper","Yes","male",42,1,0,52.5542,"S"
"730","Lower","No","male",26,1,2,20.575,"S"
"731","Lower","No","male",51,0,0,8.05,"S"
"732","Upper","No","male",39,0,0,0,"S"
"733","Upper","Yes","female",36,1,2,120,"S"
"734","Lower","No","male",24,0,0,9.5,"S"
"735","Lower","No","male",36,0,0,7.8958,"S"
"737","Upper","Yes","female",40,1,1,134.5,"C"
"738","Lower","No","male",27,0,0,7.8542,"S"
"739","Middle","Yes","female",40,0,0,13,"S"
"740","Lower","Yes","female",22,0,0,7.25,"S"
"741","Lower","No","male",0.3333,0,2,14.4,"S"
"742","Upper","Yes","male",36,1,2,120,"S"
"743","Lower","No","male",40,0,0,7.225,"C"
"745","Lower","No","male",22,1,0,7.25,"S"
"746","Lower","No","male",20,0,0,9.8458,"S"
"747","Upper","Yes","female",23,1,0,82.2667,"S"
"748","Middle","No","male",37,1,0,26,"S"
"749","Lower","No","male",38,0,0,7.05,"S"
"750","Lower","No","male",27,1,0,14.4542,"C"
"751","Upper","Yes","female",55,0,0,135.6333,"C"
"753","Lower","No","female",2,3,2,27.9,"S"
"754","Lower","No","male",11,5,2,46.9,"S"
"755","Lower","No","male",24,0,0,7.05,"S"
"756","Lower","Yes","female",16,0,0,7.7333,"Q"
"758","Middle","No","male",48,0,0,13,"S"
"759","Lower","No","male",19,0,0,7.65,"S"
"760","Lower","Yes","female",24,0,3,19.2583,"C"
"761","Lower","Yes","male",14,0,0,9.225,"S"
"763","Lower","Yes","female",4,1,1,16.7,"S"
"764","Lower","No","male",32,0,0,7.75,"Q"
"765","Upper","Yes","female",24,0,0,83.1583,"C"
"766","Lower","Yes","female",13,0,0,7.2292,"C"
"767","Middle","Yes","male",19,0,0,10.5,"S"
"768","Upper","No","male",57,1,1,164.8667,"S"
"769","Lower","Yes","male",20,0,0,7.925,"S"
"770","Lower","Yes","male",21,0,0,7.7958,"S"
"771","Middle","Yes","female",1,1,2,41.5792,"C"
"772","Lower","No","male",33,0,0,8.6542,"S"
"773","Middle","Yes","female",54,1,3,23,"S"
"774","Upper","No","male",41,0,0,30.5,"S"
"775","Lower","No","female",3,1,1,13.775,"S"
"776","Lower","No","male",16,0,0,9.5,"S"
"777","Upper","Yes","female",45,0,0,262.375,"C"
"778","Upper","Yes","male",50,2,0,133.65,"S"
"779","Middle","Yes","female",18,0,2,13,"S"
"781","Middle","No","male",30,0,0,13,"S"
"782","Lower","No","male",25,0,0,7.8958,"S"
"783","Lower","Yes","female",14,1,0,11.2417,"C"
"784","Lower","No","male",33,0,0,7.8542,"S"
"786","Middle","Yes","male",26,1,1,29,"S"
"787","Middle","Yes","female",29,1,0,26,"S"
"789","Middle","No","female",44,1,0,26,"S"
"791","Lower","Yes","male",39,0,1,13.4167,"C"
"792","Upper","No","male",47,0,0,25.5875,"S"
"793","Middle","Yes","female",24,0,0,13,"S"
"794","Upper","No","male",24,1,0,60,"S"
"795","Lower","Yes","female",18,0,0,7.2292,"C"
"796","Upper","No","male",71,0,0,34.6542,"C"
"797","Lower","No","male",31,0,0,7.7333,"Q"
"798","Middle","No","male",24,0,0,13.5,"S"
"799","Lower","No","male",43,0,0,7.8958,"S"
"800","Middle","Yes","female",48,1,2,65,"S"
"801","Upper","Yes","female",14,1,2,120,"S"
"802","Middle","No","male",24,2,0,73.5,"S"
"803","Upper","Yes","female",40,0,0,153.4625,"S"
"804","Lower","Yes","female",23,0,0,7.55,"S"
"807","Lower","Yes","female",29,0,2,15.2458,"C"
"808","Lower","Yes","male",25,0,0,7.2292,"C"
"809","Lower","No","female",17,0,0,7.7333,"Q"
"811","Upper","No","male",62,0,0,26.55,"S"
"812","Lower","No","male",2,4,1,29.125,"Q"
"813","Middle","No","male",23,0,0,13,"S"
"815","Lower","Yes","male",0.4167,0,1,8.5167,"C"
"816","Lower","No","female",24,0,0,7.75,"Q"
"818","Middle","Yes","female",34,0,1,23,"S"
"819","Lower","Yes","male",20,1,0,7.925,"S"
"820","Upper","Yes","female",19,0,2,26.2833,"S"
"821","Middle","No","male",30,1,0,21,"S"
"822","Lower","No","female",22,0,0,10.5167,"S"
"823","Upper","Yes","female",51,0,1,39.4,"S"
"824","Upper","No","male",29,0,0,30,"S"
"825","Lower","No","male",34,1,1,14.4,"S"
"826","Middle","No","male",19,0,0,10.5,"S"
"831","Upper","No","male",46,0,0,79.2,"C"
"832","Middle","No","male",21,0,0,11.5,"S"
"833","Middle","Yes","female",25,0,1,26,"S"
"834","Middle","Yes","female",32,0,0,13,"S"
"835","Upper","Yes","female",35,0,0,211.5,"C"
"837","Middle","Yes","male",32,1,0,26,"S"
"838","Lower","No","female",2,1,1,20.2125,"S"
"839","Lower","No","male",21,2,0,24.15,"S"
"840","Lower","No","male",28,0,0,7.8958,"S"
"841","Upper","Yes","female",58,0,1,512.3292,"C"
"842","Lower","No","male",36,0,0,7.4958,"S"
"843","Upper","No","male",47,0,0,34.0208,"S"
"844","Lower","Yes","female",5,0,0,12.475,"S"
"845","Upper","No","male",37,0,1,29.7,"C"
"846","Middle","No","male",52,0,0,13,"S"
"847","Middle","No","male",35,0,0,12.35,"Q"
"849","Middle","Yes","male",34,0,0,13,"S"
"850","Lower","Yes","female",5,4,2,31.3875,"S"
"851","Lower","No","female",18,1,0,17.8,"S"
"852","Middle","No","male",23,2,1,11.5,"S"
"853","Middle","No","male",28,0,1,33,"S"
"855","Lower","No","female",1,1,1,12.1833,"S"
"859","Lower","Yes","male",25,1,0,7.775,"S"
"860","Middle","Yes","female",6,0,1,33,"S"
"861","Upper","Yes","male",36,0,1,512.3292,"C"
"862","Lower","No","male",19,0,0,0,"S"
"865","Lower","No","male",17,0,0,7.8958,"S"
"866","Lower","No","male",22,0,0,8.05,"S"
"867","Upper","No","male",39,0,0,29.7,"C"
"869","Lower","No","male",45,0,0,6.975,"S"
"870","Upper","Yes","female",56,0,1,83.1583,"C"
"871","Lower","No","male",33,0,0,8.6625,"C"
"872","Lower","No","male",16,1,3,34.375,"S"
"873","Middle","No","male",34,1,0,21,"S"
"874","Lower","No","male",6,1,1,15.2458,"C"
"875","Middle","Yes","female",19,0,0,26,"S"
"876","Upper","Yes","female",36,0,2,71,"S"
"878","Lower","No","male",18,1,1,7.8542,"S"
"879","Lower","No","male",28,0,0,7.8958,"S"
"880","Lower","No","male",26.5,0,0,7.225,"C"
"881","Upper","No","male",49,1,1,110.8833,"C"
"883","Lower","No","female",26,1,0,16.1,"S"
"884","Middle","Yes","female",21,0,0,10.5,"S"
"885","Lower","Yes","female",47,1,0,7,"S"
"886","Lower","No","male",21,0,0,7.8542,"S"
"887","Upper","Yes","female",26,1,0,136.7792,"C"
"889","Upper","Yes","female",44,0,0,27.7208,"C"
"890","Lower","No","male",30,0,0,7.25,"S"
"893","Upper","No","male",61,1,3,262.375,"C"
"895","Upper","Yes","female",45,0,1,63.3583,"C"
"897","Middle","No","male",32.5,1,0,30.0708,"C"
"898","Lower","Yes","female",19,0,0,7.8792,"Q"
"900","Middle","No","male",29,1,0,21,"S"
"901","Lower","Yes","female",17,0,1,16.1,"S"
"902","Upper","Yes","female",35,1,0,90,"S"
"903","Lower","No","male",24,2,0,24.15,"S"
"904","Lower","Yes","female",17,4,2,7.925,"S"
"905","Lower","No","male",38,0,0,7.8958,"S"
"906","Upper","No","male",47,1,0,227.525,"C"
"907","Middle","No","male",26,0,0,13,"S"
"909","Lower","No","female",26,0,2,13.775,"S"
"910","Lower","No","male",22,0,0,7.7958,"S"
"911","Middle","Yes","female",27,1,0,13.8583,"C"
"912","Upper","Yes","female",16,0,1,39.4,"S"
"914","Upper","No","male",31,1,0,52,"S"
"915","Upper","No","male",45,0,0,26.55,"S"
"916","Lower","No","female",36,0,2,12.1833,"S"
"917","Lower","No","male",26,0,0,7.775,"S"
"918","Middle","No","male",47,0,0,10.5,"S"
"920","Middle","Yes","female",34,1,1,32.5,"S"
"921","Middle","No","male",14,0,0,65,"S"
"922","Lower","No","male",20,0,0,7.8542,"S"
"926","Lower","No","male",44,0,0,8.05,"S"
"927","Upper","No","male",52,1,1,79.65,"S"
"928","Lower","No","male",22,0,0,7.25,"S"
"930","Lower","No","male",30.5,0,0,8.05,"S"
"932","Lower","No","male",33,0,0,7.8958,"S"
"933","Upper","No","male",71,0,0,49.5042,"C"
"934","Upper","No","male",18,1,0,108.9,"C"
"935","Lower","No","male",21,0,0,7.8542,"S"
"936","Lower","No","male",29,0,0,8.05,"S"
"937","Lower","Yes","male",26,0,0,56.4958,"S"
"938","Middle","No","male",24,0,0,10.5,"S"
"939","Middle","Yes","male",30,0,0,12.7375,"C"
"940","Upper","No","male",64,0,0,26,"S"
"941","Lower","No","female",45,0,1,14.4542,"C"
"942","Upper","Yes","female",23,1,0,113.275,"C"
"943","Lower","No","female",27,1,0,7.925,"S"
"944","Lower","No","male",18,0,0,7.75,"S"
"945","Upper","No","male",65,0,1,61.9792,"C"
"946","Lower","No","male",40,1,5,31.3875,"S"
"947","Upper","Yes","female",38,0,0,227.525,"C"
"948","Lower","No","male",22,0,0,8.05,"S"
"949","Lower","No","male",19,0,0,7.8958,"S"
"950","Upper","No","male",24,0,0,79.2,"C"
"953","Upper","Yes","male",36,0,0,26.3875,"S"
"954","Lower","No","male",61,0,0,6.2375,"S"
"955","Upper","No","male",64,1,0,75.25,"C"
"956","Middle","No","male",62,0,0,9.6875,"Q"
"957","Upper","Yes","female",60,1,0,75.25,"C"
"958","Lower","Yes","male",18,0,0,8.05,"S"
"959","Lower","No","male",24,0,0,7.7958,"S"
"960","Upper","Yes","female",17,1,0,108.9,"C"
"961","Upper","Yes","female",55,2,0,25.7,"S"
"963","Lower","No","male",19,0,0,7.8958,"S"
"964","Lower","No","male",27,0,0,7.225,"C"
"965","Middle","Yes","female",29,0,0,10.5,"S"
"966","Upper","Yes","female",42,0,0,227.525,"C"
"968","Upper","Yes","female",64,0,2,83.1583,"C"
"969","Upper","No","male",54,0,0,51.8625,"S"
"970","Lower","No","female",30,0,0,8.6625,"S"
"972","Upper","No","male",31,0,0,50.4958,"S"
"973","Lower","No","male",38.5,0,0,7.25,"S"
"974","Upper","Yes","female",30,0,0,31,"C"
"975","Upper","Yes","female",30,0,0,86.5,"S"
"976","Middle","No","male",22,2,0,31.5,"S"
"977","Upper","Yes","male",13,2,2,262.375,"C"
"978","Middle","No","male",27,0,0,13,"S"
"979","Middle","Yes","female",30,3,0,21,"S"
"980","Lower","No","male",21,0,0,7.7333,"Q"
"981","Lower","No","male",74,0,0,7.775,"S"
"982","Upper","No","male",54,0,1,77.2875,"S"
"983","Upper","No","male",25,0,0,26,"C"
"984","Lower","Yes","female",36,0,2,15.9,"S"
"985","Lower","Yes","male",16,0,0,8.05,"S"
"986","Middle","No","male",18,0,0,73.5,"S"
"988","Upper","Yes","male",21,0,1,61.3792,"C"
"989","Middle","Yes","female",15,0,2,39,"S"
"990","Middle","No","male",25,0,0,10.5,"S"
"991","Lower","No","male",23,0,0,7.8542,"S"
"992","Lower","No","male",30,0,0,8.05,"S"
"993","Lower","No","male",40.5,0,2,14.5,"S"
"994","Middle","No","male",25,0,0,31.5,"S"
"995","Middle","No","male",27,0,0,26,"S"
"996","Middle","Yes","male",29,0,0,13.8583,"C"
"997","Lower","No","male",21,0,0,8.05,"S"
"998","Lower","No","male",15,1,1,7.2292,"C"
"999","Lower","Yes","female",21,0,0,7.65,"S"
"1000","Lower","Yes","female",26,1,1,22.025,"S"
"1001","Lower","Yes","female",31,0,0,8.6833,"S"
"1002","Lower","Yes","male",25,0,0,7.7958,"S"
"1003","Lower","No","male",42,0,0,7.55,"S"
"1004","Middle","Yes","male",0.6667,1,1,14.5,"S"
"1005","Upper","No","male",47,0,0,52,"S"
"1006","Lower","No","male",21,0,0,7.225,"C"
"1007","Upper","No","male",38,0,1,153.4625,"S"
"1009","Upper","Yes","female",18,0,2,79.65,"S"
"1010","Lower","Yes","male",4,1,1,11.1333,"S"
"1011","Middle","Yes","female",5,1,2,27.75,"S"
"1012","Middle","No","male",19,0,0,10.5,"S"
"1013","Middle","Yes","male",0.8333,1,1,18.75,"S"
"1014","Upper","No","male",62,0,0,26.55,"S"
"1015","Lower","No","male",32,0,0,7.925,"S"
"1016","Lower","No","male",21,0,0,7.8958,"S"
"1017","Middle","No","male",54,0,0,26,"S"
"1018","Middle","Yes","female",36,0,0,13,"S"
"1020","Middle","No","male",44,0,0,13,"S"
"1021","Middle","Yes","female",28,1,0,24,"C"
"1024","Middle","No","male",32,0,0,13.5,"S"
"1025","Middle","Yes","female",45,1,1,26.25,"S"
"1026","Lower","Yes","female",33,3,0,15.85,"S"
"1028","Lower","No","male",28,0,0,9.5,"S"
"1029","Upper","Yes","male",49,1,0,56.9292,"C"
"1030","Upper","Yes","female",54,1,0,78.2667,"C"
"1031","Upper","No","male",17,0,0,47.1,"S"
"1032","Lower","No","male",26,2,0,8.6625,"S"
"1033","Lower","No","female",9,2,2,34.375,"S"
"1034","Middle","Yes","female",12,0,0,15.75,"S"
"1035","Lower","Yes","male",45,0,0,8.05,"S"
"1036","Middle","Yes","female",20,0,0,36.75,"S"
"1037","Upper","Yes","female",49,0,0,25.9292,"S"
"1038","Middle","No","male",31,0,0,10.5,"S"
"1039","Upper","Yes","female",33,0,0,86.5,"S"
"1040","Middle","No","male",30,0,0,10.5,"S"
"1041","Lower","No","male",44,0,0,8.05,"S"
"1043","Middle","No","male",23,0,0,15.0458,"C"
"1045","Middle","Yes","female",19,1,0,26,"S"
"1046","Middle","No","male",38,1,0,21,"S"
"1047","Lower","No","male",28,0,0,7.25,"S"
"1048","Upper","Yes","female",26,0,0,78.85,"S"
